identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
14270A;PARIS LITTRE;Bureau de poste;22 RUE LITTRE;;;75006;PARIS;75;FRANCE;48.8445;2.32417;48.8445, 2.32417;1,211107303
14335A;PARIS ST GERMAIN DES PRES / MEDICIS;Bureau de poste;53 RUE DE RENNES;;;75006;PARIS;75;FRANCE;48.8528;2.33219;48.8528, 2.33219;1,244275761
14254A;PARIS CHAMP DE MARS BP;Bureau de poste;37 AVENUE RAPP;;;75007;PARIS;75;FRANCE;48.8585;2.30074;48.8585, 2.30074;1,233100506
14347A;PARIS ANJOU;Bureau de poste;13 RUE D ANJOU;;;75008;PARIS;75;FRANCE;48.8702;2.32086;48.8702, 2.32086;1,245983108
14294A;PARIS TURGOT;Bureau de poste;20 RUE TURGOT;;;75009;PARIS;75;FRANCE;48.881;2.34515;48.881, 2.34515;1,232891255
14333A;PARIS HAUSSMANN;Bureau de poste;7 BOULEVARD HAUSSMANN;;;75009;PARIS;75;FRANCE;48.8722;2.33718;48.8722, 2.33718;1,206068366
14253A;PARIS GARE DU NORD BP;Bureau de poste;8 RUE DE DUNKERQUE;;;75010;PARIS;75;FRANCE;48.88;2.3573;48.88, 2.3573;1,240267866
14314A;PARIS REPUBLIQUE BP;Bureau de poste;56 RUE RENE BOULANGER;;;75010;PARIS;75;FRANCE;48.8689;2.35925;48.8689, 2.35925;1,209680819
14319A;PARIS LOUIS BLANC;Bureau de poste;228 RUE DU FAUBOURG SAINT MARTIN;;;75010;PARIS;75;FRANCE;48.8808;2.36491;48.8808, 2.36491;1,237145116
14291A;PARIS PERE LACHAISE;Bureau de poste;103 AVENUE DE LA REPUBLIQUE;;;75011;PARIS;75;FRANCE;48.8632;2.38586;48.8632, 2.38586;1,237437342
14178A;PARIS MINISTERE DES FINANCES BP;Bureau de poste;139 RUE DE BERCY;BATIMENT B;;75012;PARIS;75;FRANCE;48.8411;2.3779;48.8411, 2.3779;1,235356097
14185A;PARIS CROZATIER BP;Bureau de poste;31 RUE CROZATIER;;;75012;PARIS;75;FRANCE;48.8469;2.38157;48.8469, 2.38157;1,218732624
14213A;PARIS MOULIN DE LA POINTE /MASSENA;Bureau de poste;2 RUE DU MOULIN DE LA POINTE;;;75013;PARIS;75;FRANCE;48.8249;2.35717;48.8249, 2.35717;1,216032977
15047A;LA VERRIERE BP;Bureau de poste;CENTRE COMMERCIAL MARCEL RIVIERE;;;78320;LA VERRIERE;78;FRANCE;48.7535;1.94629;48.7535, 1.94629;1,226359497
14968A;LES LOGES EN JOSAS AP;Relais poste commerçant;;RUE DE LA POSTE;;78350;LES LOGES EN JOSAS;78;FRANCE;48.7634;2.14099;48.7634, 2.14099;1,20547274
